USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION
Mythikal,#燃情西班牙##十一旅游小撇步# 巴塞罗那足球强 篮球也强 比如我们熟悉的大小加就来自这里 ​,2019年09月30日 07:57,评论 , ,
Ninja_m,"差不多20天前，一位特别喜欢Nikki 的奶奶带了一个小礼物来看望她(爷爷奶奶的朋友)，一进门就告诉我她一直梦想有个Chinese baby girl,其实她已经有四个孙子了，然后一下午都抱着Nikki，爱不释手，现在看当时的照片，真是好小一只啊小礼物就是这件包衣，印着一个跳Flamenco的贝蒂，是这个奶奶在巴塞罗那旅游的时候买的，她说她一看见这个衣服就想到了Nikki(我也不知道为什么)小月龄的宝宝有经常胀气肠绞痛的问题，这段时间Nikki白天也总是哭闹，不睡觉的时候简直脱不了手，我也是带得身心疲惫，经常期盼孩子能快点长大，想起之前有人告诉我时间过得很快的，好好享受她的babyhood , 我也是心里一阵苦笑，老外们就是这么乐观今天粑粑把这件衣服拿出来给她穿上，趁她笑的时候给她拍了这张照片，我突然就感叹起来，这衣服是3-6M的，她才一个多月就能穿了，当时看起来好大的，而事实也是家里的nb衣服都快扣不上了，老母亲的心突然就酸起来了，原来长大就是一瞬间的事，我的小哭包已经圆成一个球了，也重得跟块石头一样了，真是盼望你长大又非常舍不得啊宝宝育儿 收起全文d",2019年09月30日 04:46,评论 11, 2,
OIN1_,#西班牙旅游##巴塞罗那##马德里##西班牙美食# 为期一周的西班牙旅行要结束啦 想写一个美食贴 MadridPic 1 Jardin de salvador Bachiller 超美秘密花园般 吃了个brunch套餐 适合晒太阳喝下午茶 第一次喝到杯口带盐的果酒😂奇怪味道Pic 2 海鲜饭 超好吃 饭里有浓郁海鲜味Pic 3 圣米盖尔市场的入口即化的火腿肉 从超大的猪蹄上现切下来BarcelonaPic 4 El Pachuco Taqueria amaaaaaazing tacos 肉多酱汁浓郁 好吃！点了啤酒 杯口奇怪得加了辣椒🌶️Pic 5 churros 吉事果 神奇的油条蘸巧克力酱 好吃！Pic 6 Dr Beer and Mister Fried amazing fried chicken 炸鸡超好吃啤酒好喝（我醉了）super spicy 把我辣到了 很喜欢欧洲这边点酒方式 下单前会给你尝一点 Pic 7 同6 never ends tapas 里面裹了香浓的cheese 可以拉丝Pic 8 Koku Kitchen Ramen 日料拉面店 汤很好喝 面筋道Pic 9 Bar Brutal /great natural wines 三文鱼入口即化！la rose红酒很香 2西班牙·巴塞罗那 收起全文d,2019年09月30日 02:58,评论 , ,西班牙·巴塞罗那
queenie要幸福,去西班牙旅行吃到了非常非常新鲜的生蚝，tips就是一定要吃当地的海鲜呀！上次去的巴塞罗那，希望能去趟马德里#燃情西班牙# #十一旅游小撇步# 查看图片,2019年09月24日 16:13,评论 , ,
大狮子猴幸福,有人问巴塞罗那有何特别，可能因为毕加索，可能因为高迪，可能因为巴萨球队，可能因为美食，可能因为自由热情，可能因为阳光沙滩帅哥。这座城市是个宝藏，待你慢慢品味。小撇步，在巴塞罗那住民宿，更能贴近当地人生活，更加让你爱上这座城。#燃情西班牙##十一旅游小撇步# @西班牙国家航空 ​,2019年09月29日 23:33,评论 2, 2,
齐天小大姐,O在巴萨球场外，整个背包被偷，新手法防不胜防  巴萨球场外轮胎被扎，背包被盗。信用卡、现金、相机、手机、身份证等重要财物全部被洗劫一空。黄金周来西班牙旅行的小伙伴一定万分小心！不可一刻不提防！@巴萨新闻 @走遍巴塞罗那 @西班牙国家旅游局 @巴塞罗那足球俱乐部 #十一黄金周##西班牙##西班牙旅行# 2西班牙·巴塞罗那 ​,2019年09月29日 20:14,评论 56, 24,西班牙·巴塞罗那
芦禹抗洪大队,#旅游时吃到念念不忘的食物# 厦门的糖水小凤梨，西安的羊肉泡馍，上海的灌汤包，巴塞罗那的海鲜烩饭，尼斯的青口，塞特的生蚝，慕尼黑的大猪肘子，我就是这么吃胖的 ​,2019年09月29日 19:07,评论 , ,
雨后初晴-虹,#燃情西班牙#  #十一旅游小撇步#  去巴塞罗那怎么能错过高迪呢？期待即将到来的巴塞罗那之旅，如果中了机票，刚好也可以再去马德里，完美！ 查看图片,2019年09月24日 16:13,评论 , ,
雨后初晴-虹,#燃情西班牙#  #十一旅游小撇步#  期待即将到来的巴塞罗那之旅，如果中了机票，刚好也可以再去马德里，完美！ 查看图片,2019年09月24日 16:13,评论 , ,
南希的小世界,#燃情西班牙##十一旅游小撇步# 去欧洲旅游，一定要去巴塞罗那啊。赐我机票吧，再重温下记忆。 @西班牙国家航空 ​,2019年09月29日 17:18,评论 , ,
九牧姑娘,神圣家族教堂——如果在巴塞罗那只有一天的观光时间，绝对应该把时间都留给圣家堂。他是现代主义大师安东尼·高迪的心血结晶，也是他一生最伟大的代表作和心血结晶，是巴塞罗那最骄傲的圣殿建筑。#燃情西班牙##十一旅游小撇步# ​,2019年09月29日 16:05,评论 , ,
男小杨Jenner,🎩一场关于高迪的奇幻之旅～#巴塞罗那##西班牙旅游# 2西班牙·巴塞罗那 ​,2019年09月29日 15:33,评论 , 2,西班牙·巴塞罗那
新晴ssc,#燃情西班牙# #十一旅游小撇步# 近些年去西班牙的中国游客中，足球迷也越来越多了，除了两大豪门皇马巴萨的球场是很多球迷必打卡的，因为武磊的加盟，西班牙人的主场埃尔普拉特球场也开始进入球迷视线。从巴塞罗那市区坐区间小火车，到站后再走20来分钟，穿过一片宁静的种满橘子树的街区就到啦。 查看图片,2019年09月24日 16:13,评论 , ,
郑州大学政管学术创新中心,#景色撩人# 巴塞罗那是加泰罗尼亚的港口城市，是享誉世界的地中海风光旅游目的地和世界著名的历史文化名城。巴塞罗那森林覆盖面积占58.3%，因其数量众多、特色鲜明的公园而著名。其主要植物资源分布在了全市5座植物主题公园，45座市区公园和6座森林公园里。这里曾是革命的温床，也是人们美好生活的去处。 收起全文d,2019年09月29日 11:52,评论 , 1,
北京公安出入境,#我在岗位上##国庆168小时# 【国庆期间西班牙国家警察部分警局将面向游客提供中文服务】国庆长假期间，不少中国游客将来西旅游。延续往年合作模式，中国驻西班牙使馆在各地领保联络组协助下与西国家警察合作，继续在国庆期间（2019年9月29日至10月7日），在条件成熟的部分警局提供中文报警服务。这些地点包括：西班牙马德里、瓦伦西亚、塞维利亚、马拉加、拉斯帕尔马斯岛和特内里费岛的中心警局及外国游客接待中心（SATE）。中国游客在以上地区遇到紧急事务时，可赴有关警局报警求助（警局详细地点附后）。如遇语言问题，相关地点的国家警察将联络当地侨团志愿者提供中文电话翻译服务，帮助游客解决燃眉之急。　　西班牙国家警察报警电话091，国民警卫队062，急救电话112。中国驻西班牙使馆领事保护与协助电话+34-699089086，驻巴塞罗那总领馆领事保护与协助电话+34-688306666。外交部全球领事保护与服务应急热线+86-10-12308或+86-10-59913991。如与旅行社产生纠纷或需要投诉，可拨打中国国家旅游局投诉电话+86-10-12301进行投诉。 收起全文d,2019年09月29日 11:16,评论 1, 2,
鹿包,好友Margarita从巴塞罗那来纽约旅游，借宿我们家。今早三人起大早去吃了美式早餐：分量之大，把她这个欧洲人给惊到了！ ​,2019年09月29日 11:00,评论 2, 7,
狗狗Moon,旅行#西班牙# 瓦伦西亚喜欢这座古城，比巴塞罗那干净漂亮耶#带着微博去旅行##十一出游好去处# @新浪旅游 ​,2019年09月28日 20:50,评论 , 1,
享梦游·子梦,这几年  我去过山顶也到过谷底抹过微云也斩过荆棘我想人生就是这‌般起起伏伏吧要说与之‌前最大的变‌化或许是   不‌管身‌在何‌处心永‌远都遇与地平‌线齐平浮光‌掠影 坚守初‌心宽容 赤诚 坚毅 善良我们做的不仅‌仅只‌是旅行还有梦‌想和光的存‌在👑美景自由行 ​,2019年09月28日 19:53,评论 1, ,
Sharon低调的奢华,巴塞罗那因其众多历史建筑和文化景点成为众多旅游者的目的地。臃肿。塞罗那素有“伊比利亚半岛的明珠”之称。而巴塞罗那的夜晚更让人为之神往，只有去过才能体会他的美。 ​,2019年09月28日 19:47,评论 , ,
享梦游·子梦,【梦语】我不想过波澜不惊的生活也不想做一个没有乐趣的人我的野心很大 所以不想停下每一个平淡的日子都值得尊重每一个还在身边的人都应该珍惜愿你眼里有星辰 身边有微风 心里有暖阳#[超话]#美景自由行带着梦想去旅行#旅游##环球旅游##国内旅游##国外旅游##环球旅行##亲爱的##亲爱的热爱的##巴厘岛##沙巴##美娜多##仙女##海滩##澳门##马尔代夫##冰岛##瑞士##土耳其##日本##茶卡盐湖##西藏##澳大利亚##希腊##芬兰##意大利##西班牙##法国##英国##德国##英国##北极##北京##武汉##上海##青海湖##拉萨##洱海##说走就走##想去哪就去哪##旅行的意义##成长##梦想##一起##实现##你呢##一起旅行吧##世界这么大##仙本那##塞班岛##美国##云南##丽江##大理##桂林##三亚##俄罗斯##全世界##旅游##你来吗##我等你##亲爱的##玩赚世界 全球旅拍 客片分享##微博赚钱季##创业##以梦为马##越南##芽庄##情侣##情人节##情人节快乐##七夕情人节快乐##酒店##机票##故事##缅甸##大理##青海##澳门##武汉##吃喝玩乐##创业##美业##情人节##快乐#享梦游#赛里木湖##大海##沙滩##自驾游##嗯##旅游##内蒙古##兰卡威##马来西亚##马来西亚十大旅游景点##瑞士##澳大利亚##伊斯坦布尔##优秀##斜杠青年##轻资产创业引领者##环球旅游##布拉格##吴哥窟##巴塞罗那##毛里求斯##清迈##开罗##普罗旺斯##东京##新加坡##罗马##伦敦##迪拜##巴黎##圣托里尼##斐济##夏威夷##大溪地##威尼斯##皇后镇##悉尼##典雅##米兰##林芝##莫斯科##雅典##纽约##苏梅岛##摩洛哥##阿尔卑斯山##奥克兰##棉花堡##想去哪就去哪##一起旅游##爱##陪伴##我和微博的那些事#副业兼职#分享经济#享梦游旅行体验师招募_享游达人 2印度尼西亚·巴厘岛 收起全文d,2019年09月28日 15:00,评论 , ,印度尼西亚·巴厘岛
紫玉的小号ww,#十一旅游小撇步##燃情西班牙#去巴塞罗那要去圣家堂和吃海鲜饭，还要去诺坎普看一场球！ 查看图片,2019年09月24日 16:13,评论 , ,
眼中的gift,#带着微博去旅行#双牙之旅vlog，膜拜高迪三大建筑，圣家堂、巴特罗之家、米拉之家，充满艺术的旅行！ L眼中的gift的微博视频 ​,2019年09月28日 09:36,评论 , ,
穿行世界的cici澄,"组图一：9:00 a.m.时分的圣家堂/""提到西班牙，提到巴塞罗那，提到高迪，圣家堂绝对是最最热门的网红景点，一栋修上百年“烂尾楼”，光外部就已经足够震撼了，用语音导览的原话——圣家堂就是一部石头圣经。而内部的整面的马赛克玻璃，就是它的生命。💡贴心tips：一定要提前在网上预约订票，因为圣家堂有时间段限流，以及游客人数限制！不要在外面拍拍就觉得打卡了，一定要租语音导览，有中文，也听我的，一定要进到里面去！会被美哭的，这是我见过最最最美的教堂内部。 #带着微博去旅行#西班牙旅行#国庆去哪儿玩# @微博旅游 @新浪旅游 2西班牙 收起全文d",2019年09月28日 08:17,评论 113, 265,西班牙
管我我我我我哦我干啥,去巴塞罗那旅游 一定要去圣家堂啊 ，一定要进去坐下来安安静静听祷告，然后等到眼光从花窗洒进来 温柔又幸福。然后吃海鲜饭 吃火腿，逛海滩…踩沙子。#燃情西班牙# #十一旅游小撇步#  查看图片,2019年09月24日 16:13,评论 , 1,
享梦游·子梦,生活不会辜负每一个用心对待的人好幸福的感觉不要把自己固定在一个状态中 要定期旅行 无论去哪儿 无论会遇见谁别把生命浪费在无谓的人和事上而忽略了真正值得请进生命的人到达旅行圣地~#[超话]#美景自由行带着梦想去旅行#旅游##环球旅游##国内旅游##国外旅游##环球旅行##亲爱的##亲爱的热爱的##巴厘岛##沙巴##美娜多##仙女##海滩##澳门##马尔代夫##冰岛##瑞士##土耳其##日本##茶卡盐湖##西藏##澳大利亚##希腊##芬兰##意大利##西班牙##法国##英国##德国##英国##北极##北京##武汉##上海##青海湖##拉萨##洱海##说走就走##想去哪就去哪##旅行的意义##成长##梦想##一起##实现##你呢##一起旅行吧##世界这么大##仙本那##塞班岛##美国##云南##丽江##大理##桂林##三亚##俄罗斯##全世界##旅游##你来吗##我等你##亲爱的##玩赚世界 全球旅拍 客片分享##微博赚钱季##创业##以梦为马##越南##芽庄##情侣##情人节##情人节快乐##七夕情人节快乐##酒店##机票##故事##缅甸##大理##青海##澳门##武汉##吃喝玩乐##创业##美业##情人节##快乐#享梦游#赛里木湖##大海##沙滩##自驾游##嗯##旅游##内蒙古##兰卡威##马来西亚##马来西亚十大旅游景点##瑞士##澳大利亚##伊斯坦布尔##优秀##斜杠青年##轻资产创业引领者##环球旅游##布拉格##吴哥窟##巴塞罗那##毛里求斯##清迈##开罗##普罗旺斯##东京##新加坡##罗马##伦敦##迪拜##巴黎##圣托里尼##斐济##夏威夷##大溪地##威尼斯##皇后镇##悉尼##典雅##米兰##林芝##莫斯科##雅典##纽约##苏梅岛##摩洛哥##阿尔卑斯山##奥克兰##棉花堡##想去哪就去哪##一起旅游##爱##陪伴##我和微博的那些事#副业兼职#分享经济#享梦游旅行体验师招募_享游达人 2印度尼西亚·巴厘岛 L子梦·lemon的微博视频 收起全文d,2019年09月28日 08:03,评论 , ,印度尼西亚·巴厘岛
Andy爱旅行爱运动爱读书,#燃情西班牙##十一旅游小撇步# 去西班牙旅行过多次，非常喜欢西班牙，除了大家熟悉的巴塞罗那，马德里，塞维利亚，格拉纳达，其实我还很推荐大家去西班牙的很多美丽的小城小镇，比如位于安达卢西亚大区的私奔之城龙达，还有龙达往南20多公里的蓝精灵小镇Juzcar（胡兹卡尔），非常有意思的小镇，远离城市的喧嚣到这里走进蓝精灵的世界吧@西班牙国家航空 2西班牙 收起全文d,2019年09月28日 03:05,评论 , 1,西班牙
谁打翻了我的牛奶123,有的时候我们身边有很多这样的情景，那些说我会一直陪着你的人，那些说我会等你的人随着时间慢慢都无声没了音讯，而那些什么也没说的人却一直在你背后默默陪着你走过春夏秋冬，我是很相信眼缘这个信念的东西，虽说我是有过婚姻的人，但在余下半生我仍然不想让自己成为那个为婚姻而去选择将就的人，很多人问过我，我究竟喜欢什么样的男人，其实我喜欢一个简单的男人，有风趣的男人，懂得是非的男人，可以不是很帅那种，但至少给人看起来舒服自然那种，最重要是愿意呵护我的男人，今夜许愿2020年希望我的旅途中有那个属于我一个人“你”，倘若你是我那个有缘人，我会在我的旅游地点《巴塞罗那》的路程中等着你。 收起全文d,2019年09月28日 02:41,评论 7, 1,
CcYonne_,🍻日常想念马德里自助🍻『Wok Garden』🔸三文鱼刺身随便拿！🔸寿司（三文鱼 虾 牛油果 蟹肉等）🔸水果新鲜种类多🔸生海鲜，生肉，蔬菜任意组合铁板烧🔸超多种类沙拉及酱料🔺非常干净#马德里美食##西班牙美食##西班牙旅游##巴塞罗那小生活# 2西班牙 ​,2019年09月28日 02:12,评论 4, 3,西班牙
阿kun抱着怀里熟睡的Leo轻轻地说,你杀了我吧//@Dr_Raki:如果一个人去巴塞罗那，去诺坎普，请一定记得带够纸巾。独自离开的时候会非常需要。 #燃情西班牙# #十一旅游小撇步#  查看图片,2019年09月24日 16:13,评论 , ,
-petercao-,去巴塞罗那 诺坎普 趁着那个男人还在踢球  #燃情西班牙# #十一旅游小撇步# 查看图片,2019年09月24日 16:13,评论 , ,
小潘同学leo,如果去巴塞罗那旅游，一定要去诺坎普球场，另外要去周边的巴萨博物馆，巴萨官方商店（虽然还木有如果朝圣，可这个梦想离我越来越近了，期待这一天尽早到来） 查看图片,2019年09月24日 16:13,评论 , 1,
Dr_Raki,如果一个人去巴塞罗那，去诺坎普，请一定记得带够纸巾。独自离开的时候会非常需要。 #燃情西班牙# #十一旅游小撇步#  查看图片,2019年09月24日 16:13,评论 5, 8,
我是个爱旅行的宅女,#燃情西班牙##十一旅游小撇步# 去欧洲旅游，看最美建筑一定要去西班牙巴塞罗那。比如巴洛特公寓，很像骨头的房子。在那里可以俯瞰恩典区大街，这里一切都是旋转的:天花板被扭曲成旋涡状，中间是太阳状的顶灯；窗户和天窗是木头和彩色玻璃的组合，构成梦幻的波浪型，并排排列的形状扭曲的烟囱管帽为屋顶添加了超现实主义的色彩。@西班牙国家航空 收起全文d,2019年09月27日 21:07,评论 , ,
旅行大视野,#燃情西班牙#  #十一旅游小撇步# 其实很想去巴塞罗那看圣家族大教堂。听说要提前预约否则可能无法现场排上。,2019年09月24日 16:13,评论 , ,
李四牙·托塔·迪卡普里奥,⚠️新交规切换，几天108弯山路，渔村的超级陡坡小路都搞的定，巴塞罗那城里才是女司机的恶梦！回来绕了一个小时找不到停车位，最后在地下停车库那个巨窄巨窄的入口，刮擦了～～～！晚节不保 #西班牙自驾游# L李四牙·托塔·迪卡普里奥的微博视频 ​,2019年09月27日 17:29,评论 , 1,
驴游网,西班牙葡萄牙八天旅游攻略 | 超超超详细旅行游记伊比利亚半岛上的两颗明珠，感谢上帝在这里打翻了调色盘。短暂停留的这几天，慵懒的生活氛围，吃饱了往路边一坐晒晒太阳，听听远方传来的曼妙歌声，抬头看到的都是风景，让我不禁羡慕生活这里的人，能活得如此摇曳生姿，有滋有味。#西班牙旅游##葡萄牙旅游##走遍欧洲微攻略# P1⃣️. 行前准备(行程规划 安排 签证 交通 门票…)P2⃣️.曼彻斯特-里斯本P3⃣️.里斯本P4⃣️.里斯本-塞维利亚P5⃣️.P6⃣️.塞维利亚P7⃣️.塞维利亚-巴塞罗那P8⃣️.巴塞罗那P9⃣️.巴塞罗那-法国via. @小Monkey是恶魔Devil 收起全文d,2019年09月27日 16:56,评论 , 2,
DreamFly_电音之旅,一起在美丽的滨海托萨（Tossa de Mar）享受来自德国的艺术家Jan Blomqvist所带来的独家DJ set！这一期Cercle的嘉宾是来自柏林的80后艺术家Jan Blomqvist，他是柏林的独奏艺术家和乐队指挥。是他发明了音乐会Techno：梦幻般的声音和简单的节拍。与他的乐队BLOMQVIST，他喜欢dancy电子流行，作为一个独奏艺术家，他扮演着俱乐部灵魂的角色。滨海托萨(Tossa de Mar)，又称多萨德玛尔，位属赫罗纳海岸，地处巴塞罗那至西法边境的中间。Tossa de Mar是一个拥有重要历史背景的古老渔村，在过去的50年里已经变成了布拉瓦海岸(Costa Brava)最具象征性的旅游景点之一，但是对于国人来说却鲜有人知晓。托萨融合了自古罗马时期到中世纪再到今天的历史特征，为游客、艺术爱好者及学者提供了一个犹如天然露天博物馆的完美目的地。托萨是一个充满欢乐的地方，节日时庆祝最古老的传统，举办音乐会、舞会、娱乐儿童活动、展览、市场等应有尽有。除了恬静怡人的海滩外，穿过如同天然博物馆的小镇在小山顶的城堡一览全景或乘船沿海岸线感受最原始最纯正的岩洞都是不错的选择。Tomorrowland  DJ  Ultra  EDC  Creamfields电音节  Creamfields  psytrance LDreamFly_电音之旅的微博视频 收起全文d,2019年09月27日 16:37,评论 , 1,
一个很奶思的男人,极限青春最强战队将获国外旅游度假奖励，王一博对巴塞罗那心动了L一个很奶思的男人的微博视频 ​,2019年09月27日 15:45,评论 1, 5,
马克欣,去巴塞罗那旅游，一定要去的一个餐厅是Igueldo，这是朋友推荐给我的一家巴斯克餐厅，我推荐这里的白葡萄酒，产自Rias de Baixa，有两款来自这里都建议喝。另外还有Chipirones en su tinta，墨鱼汁烧的自己，喜欢墨鱼饭的有福了#燃情西班牙# #十一旅游小撇步# ​,2019年09月27日 15:37,评论 17, 5,
工科眼镜男,为啥没人找我当旅行博主啊市面上应该很缺带娃旅行的定位吧？！快来找我！@西班牙国家旅游局 @走遍巴塞罗那 2西班牙·巴塞罗那 ​,2019年09月27日 15:24,评论 4, 5,西班牙·巴塞罗那
旅行撩人,欧洲的11月基本已经进入冬季了，这时的欧洲已经蛮冷的了。就是米兰也不是很暖和。罗马巴塞罗那可能略微暖一点，在10几度最高温度。剩下的都要在10度以下，布拉格什么的那个时候就已经跟冬天差不太多了。不过淡季旅游自然有她的好处，光是飞机票就可以便宜上很大一笔钱。而且阿尔卑斯山的雪景在此时也变得更加不同凡响，强烈推荐喜欢滑雪的朋友这个时候去。 2大连 收起全文d,2019年09月27日 14:08,评论 , ,大连
一个很奶思的男人,#王一博##程潇#极限青春最强战队将获国外旅游度假奖励，王一博对巴塞罗那心动了 L一个很奶思的男人的微博视频 ​,2019年09月27日 13:00,评论 , 4,
享梦游·子梦,难以忘记初次见你流星花园取景地粉色系的宫殿庄园是心中的少女情结—享游达人·富贵黄金屋回传#[超话]#美景自由行带着梦想去旅行#旅游##环球旅游##国内旅游##国外旅游##环球旅行##亲爱的##亲爱的热爱的##巴厘岛##沙巴##美娜多##仙女##海滩##澳门##马尔代夫##冰岛##瑞士# ​,2019年09月27日 11:40,评论 , ,
王小小爱画画,VLOG旅行#旅游攻略##西班牙##旅拍# 巴塞罗那的公交系统非常发达，公车线路、有轨电车、巴士、地铁四通八达，只要想去的地方，都能乘坐公共交通工具到达，我们买了两日票，10.5欧元，非常方便。喜欢坐在公交车上和城市相遇的感觉 2西班牙·巴塞罗那毕加索博物馆 L李小小爱画画的微博视频 ​,2019年09月27日 09:55,评论 4, 1,西班牙·巴塞罗那毕加索博物馆
环球旅行榜,发布了头条文章：《巴塞罗那，一座让人忍不住尖叫的城市》 #国外旅游推荐# @咱们去旅游 @众信旅游  O巴塞罗那，一座让人忍不住尖叫的城市 ​,2019年09月27日 09:17,评论 , ,
皮痞祖,#插画# 伦敦插画家Bethany Lord在她的新书《地中海之旅》中为孩子们提供了一本色彩鲜艳的旅游指南。她说:“释放你的冒险精神，想象一下在马耳他碧绿的大海里潜水。”“尝试探索明亮的蓝色小镇Chefchaouen，让自己沉浸在地中海周围国家和岛屿的不同文化和观点中。”所有的插图都是从不同的角度，探索颜色和文化，鼓励孩子参与和探索他们周围的世界。从希腊和法国海滩的鸟瞰图到巴塞罗那和威尼斯的城市景观，这种有趣的风格无疑会鼓励少年们学习更多。贝瑟尼2018年毕业于伯恩茅斯艺术大学，最近毕业于伦敦金斯敦大学插画硕士，现居伦敦。她的作品大胆多彩，注重生活方式和旅行。她补充道:“我的最新作品探索的是全数字化的鸟瞰图。我从旅行和体验不同文化的经历中汲取灵感，围绕旅行和生活方式创作作品。”Illustration by Bethany Lord 收起全文d,2019年09月27日 09:12,评论 , 4,
乐游吃喝玩乐,#带着微博去旅行##秋季游# 大阿尔卑斯山道之行（七）第三晚决定在Ubaye山谷过夜。原计划准备在一个名叫小巴塞罗那的市镇（Barcelonnette）［图4、5、6、7、8、9］找一个酒店。没想到那个周末有个欧洲的摩托发烧友聚会，整个小镇的酒店都被他们全包了。于是决定在离小巴塞罗那不到十分钟路程的Jausiers入住 ［图1、2、3］。酒店本身是建于1900年的一幢新墨西哥风格的洋楼，位于一个一公顷大小的花园之中，周围都是百年的参天大树围绕，古典与现代和谐共处。@微博旅游 收起全文d,2019年09月27日 07:26,评论 34, 36,
烟儿Yan的滑翔伞生活,我更喜欢Casa Batlló，处处可见高迪对大自然的模仿 逛完之后我问同伴，如果没有高迪，巴塞罗那还会是一座旅游城市吗？#巴塞罗那##滑翔生活##RUC毕业十周年聚# 2西班牙·Casa Batlló ​,2019年09月27日 06:56,评论 , 8,西班牙·Casa Batlló
大象啊大象,@国泰航空 excuse me？长沙—香港飞巴塞罗那，等待漫长中转十个小时以后，好不容易等到要登机了，起飞前不到一小时通知延误12个小时？？？？请问贵公司航班延误，必须要等旅客全部check in、行李托运完登机的时候才能通知吗？？长途航班的机组计划是这么随意？大半夜旅客要自己出关打车去酒店？行李也被托运了，洗漱都成问题！！最关键的是时间！！本来是早上七点到，还有一个完整的白天！宝贵的十天假，就生生耗掉了一整天！所有行程都被打乱！请给个说法！@中国民航网 @穷游网 @马蜂窝旅游 @E旅行网 #国庆假期或有近8亿人次出游# 收起全文d,2019年09月27日 00:30,评论 6, ,
